paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
bd9811a5,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,0,1,0,8,0.0000,0.0000,0.0000,25845,207,0.00338,,3.07,0.0,9f23e7c683a0
bd9811a5,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,1,3,0,8,0.0000,0.0000,0.0000,25845,1266,0.00365,,12.18,0.0,9f23e7c683a0
bd9811a5,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,17,5,7,8,0.8750,0.4118,0.5600,77280,4561,0.01113,0.00159,26.33,0.7,9f23e7c683a0
bd9811a5,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,12,2,6,8,0.7500,0.5000,0.6000,51617,1365,0.00700,0.00117,9.83,0.0,9f23e7c683a0
c6319397,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,9,3,3,4,0.7500,0.3333,0.4615,29879,1645,0.00427,0.00142,9.43,0,9f23e7c683a0
c6319397,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,4,0,4,4,1.0000,1.0000,1.0000,29964,924,0.00410,0.00102,6.93,0.0,9f23e7c683a0
c6319397,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,12,3,4,4,1.0000,0.3333,0.5000,29964,2808,0.00458,0.00115,19.17,0.0,9f23e7c683a0
c6319397,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,11,5,3,4,0.7500,0.2727,0.4000,89637,3286,0.01239,0.00413,20.68,0.7,9f23e7c683a0
c6319397,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,8,3,3,4,0.7500,0.3750,0.5000,59861,1656,0.00814,0.00271,10.91,0.0,9f23e7c683a0
c9a68107,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,0,1,0,7,0.0000,0.0000,0.0000,29384,1085,0.00406,,6.71,0,9f23e7c683a0
c9a68107,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,5,0,5,7,0.7143,1.0000,0.8333,29469,1049,0.00407,0.00081,7.00,0.0,9f23e7c683a0
c9a68107,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,8,0,7,7,1.0000,0.8750,0.9333,29469,2013,0.00431,0.00062,15.78,0.0,9f23e7c683a0
c9a68107,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,0,3,0,7,0.0000,0.0000,0.0000,88152,3607,0.01228,,21.73,0.7,9f23e7c683a0
c9a68107,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,0,1,0,7,0.0000,0.0000,0.0000,58886,1020,0.00785,,7.83,0.0,9f23e7c683a0
3432d049,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,44,0,18,19,0.9474,0.4091,0.5714,88645,92,0.01144,0.00064,4.62,,9f23e7c683a0
bd86866b,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,3,0,2,2,1.0000,0.6667,0.8000,801,10,0.00011,0.00005,0.91,,9f23e7c683a0
bd9811a5,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,14,0,8,8,1.0000,0.5714,0.7273,3906,32,0.00051,0.00006,1.23,,9f23e7c683a0
c6319397,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,8,0,3,4,0.7500,0.3750,0.5000,2007,22,0.00026,0.00009,1.34,,9f23e7c683a0
c9a68107,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,11,0,6,7,0.8571,0.5455,0.6667,4296,30,0.00056,0.00009,0.98,,9f23e7c683a0
3432d049,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,24,0,19,19,1.0000,0.7917,0.8837,14768,52,0.00192,0.00010,1.55,,9f23e7c683a0
bd86866b,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,3,0,2,2,1.0000,0.6667,0.8000,869,10,0.00011,0.00006,0.83,,9f23e7c683a0
bd9811a5,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,17,0,7,8,0.8750,0.4118,0.5600,5933,38,0.00077,0.00011,1.20,,9f23e7c683a0
c6319397,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,10,0,3,4,0.7500,0.3000,0.4286,3005,26,0.00039,0.00013,1.30,,9f23e7c683a0
c9a68107,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,judge,0,0,0,7,0.0000,0.0000,0.0000,0,0,0.00000,,0.00,,9f23e7c683a0
3432d049,union,deepseek-flash,deepseek-v4-flash,T74 multi-pass,parser-union,20,0,19,19,1.0000,0.9500,0.9744,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
bd86866b,union,deepseek-flash,deepseek-v4-flash,T74 multi-pass,parser-union,7,0,2,2,1.0000,0.2857,0.4444,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
bd9811a5,union,deepseek-flash,deepseek-v4-flash,T74 multi-pass,parser-union,14,0,8,8,1.0000,0.5714,0.7273,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
c6319397,union,deepseek-flash,deepseek-v4-flash,T74 multi-pass,parser-union,13,0,4,4,1.0000,0.3077,0.4706,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
c9a68107,union,deepseek-flash,deepseek-v4-flash,T74 multi-pass,parser-union,9,0,6,7,0.8571,0.6667,0.7500,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
3432d049,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,20,0,19,19,1.0000,0.9500,0.9744,42846,1282,0.01162,0.00061,3.49,0.0,9f23e7c683a0
3432d049,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,18,0,18,19,0.9474,1.0000,0.9730,42928,1731,0.01226,0.00068,5.78,0.0,9f23e7c683a0
3432d049,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,18,0,18,19,0.9474,1.0000,0.9730,42930,1675,0.01219,0.00068,5.94,0.0,9f23e7c683a0
3432d049,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,40,0,19,19,1.0000,0.4750,0.6441,128534,4012,0.03510,0.00185,14.41,0.7,9f23e7c683a0
3432d049,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,21,0,19,19,1.0000,0.9048,0.9500,85790,1382,0.02164,0.00114,5.17,0.0,9f23e7c683a0
bd86866b,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,3,0,2,2,1.0000,0.6667,0.8000,45495,177,0.01071,0.00535,1.52,0.0,9f23e7c683a0
bd86866b,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,3,0,2,2,1.0000,0.6667,0.8000,45579,405,0.01104,0.00552,2.85,0.0,9f23e7c683a0
bd86866b,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,3,0,2,2,1.0000,0.6667,0.8000,45579,405,0.01104,0.00552,2.37,0.0,9f23e7c683a0
bd86866b,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,3,0,2,2,1.0000,0.6667,0.8000,136485,478,0.03205,0.01603,5.09,0.7,9f23e7c683a0
bd86866b,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,3,0,2,2,1.0000,0.6667,0.8000,91100,345,0.02143,0.01071,2.76,0.0,9f23e7c683a0
bd9811a5,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,6,2,6,8,0.7500,1.0000,0.8571,36916,594,0.00931,0.00155,2.64,0.0,9f23e7c683a0
bd9811a5,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,6,2,6,8,0.7500,1.0000,0.8571,37002,819,0.00964,0.00161,3.20,0.0,9f23e7c683a0
bd9811a5,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,6,2,6,8,0.7500,1.0000,0.8571,37000,951,0.00982,0.00164,3.78,0.0,9f23e7c683a0
bd9811a5,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,8,5,7,8,0.8750,0.8750,0.8750,110754,1547,0.02761,0.00394,6.67,0.7,9f23e7c683a0
bd9811a5,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,10,3,8,8,1.0000,0.8000,0.8889,73943,1105,0.01853,0.00232,4.73,0.0,9f23e7c683a0
c6319397,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,7,0,3,4,0.7500,0.4286,0.5455,42799,590,0.01066,0.00355,2.75,0.0,9f23e7c683a0
c6319397,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,4,3,4,4,1.0000,1.0000,1.0000,42883,849,0.01103,0.00276,3.58,0.0,9f23e7c683a0
c6319397,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,9,3,4,4,1.0000,0.4444,0.6154,42885,1279,0.01163,0.00291,5.86,0.0,9f23e7c683a0
c6319397,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,8,0,4,4,1.0000,0.5000,0.6667,128403,1511,0.03162,0.00790,6.70,0.7,9f23e7c683a0
c6319397,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,7,0,3,4,0.7500,0.4286,0.5455,85708,1021,0.02112,0.00704,4.93,0.0,9f23e7c683a0
c9a68107,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,8,0,7,7,1.0000,0.8750,0.9333,39477,591,0.00990,0.00141,2.74,0.0,9f23e7c683a0
c9a68107,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,8,0,7,7,1.0000,0.8750,0.9333,39563,992,0.01047,0.00150,3.78,0.0,9f23e7c683a0
c9a68107,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,8,0,7,7,1.0000,0.8750,0.9333,39563,992,0.01047,0.00150,3.66,0.0,9f23e7c683a0
c9a68107,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,10,0,7,7,1.0000,0.7000,0.8235,118437,1503,0.02931,0.00419,7.39,0.7,9f23e7c683a0
c9a68107,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,9,0,7,7,1.0000,0.7778,0.8750,79056,702,0.01915,0.00274,4.56,0.0,9f23e7c683a0
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,20,0,19,19,1.0000,0.9500,0.9744,34665,1311,0.00978,0.00051,3.54,0.0,9f23e7c683a0
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,20,0,19,19,1.0000,0.9500,0.9744,34749,1652,0.01027,0.00054,5.10,0.0,9f23e7c683a0
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,20,0,19,19,1.0000,0.9500,0.9744,34749,1652,0.01027,0.00054,4.93,0.0,9f23e7c683a0
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,20,0,19,19,1.0000,0.9500,0.9744,103995,4122,0.02961,0.00156,13.99,0.7,9f23e7c683a0
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,21,1,19,19,1.0000,0.9048,0.9500,69428,1390,0.01789,0.00094,5.68,0.0,9f23e7c683a0
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,3,0,2,2,1.0000,0.6667,0.8000,34327,187,0.00815,0.00408,1.48,0.0,9f23e7c683a0
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,3,0,2,2,1.0000,0.6667,0.8000,34411,716,0.00890,0.00445,2.94,0.0,9f23e7c683a0
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,2,0,2,2,1.0000,1.0000,1.0000,34409,486,0.00858,0.00429,2.91,0.0,9f23e7c683a0
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,3,0,2,2,1.0000,0.6667,0.8000,102981,555,0.02445,0.01223,5.39,0.7,9f23e7c683a0
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,3,0,2,2,1.0000,0.6667,0.8000,68764,325,0.01626,0.00813,2.85,0.0,9f23e7c683a0
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,6,2,6,8,0.7500,1.0000,0.8571,28681,551,0.00736,0.00123,1.95,0.0,9f23e7c683a0
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,9,1,6,8,0.7500,0.6667,0.7059,28765,1133,0.00818,0.00136,3.64,0.0,9f23e7c683a0
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,6,1,6,8,0.7500,1.0000,0.8571,28763,752,0.00765,0.00128,3.76,0.0,9f23e7c683a0
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,8,7,6,8,0.7500,0.7500,0.7500,86043,1669,0.02209,0.00368,6.92,0.7,9f23e7c683a0
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,9,3,6,8,0.7500,0.6667,0.7059,57469,1180,0.01485,0.00247,4.69,0.0,9f23e7c683a0
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,6,0,3,4,0.7500,0.5000,0.6000,33303,525,0.00838,0.00279,2.41,0.0,9f23e7c683a0
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,6,2,3,4,0.7500,0.5000,0.6000,33387,868,0.00888,0.00296,3.63,0.0,9f23e7c683a0
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,8,3,4,4,1.0000,0.5000,0.6667,33389,1067,0.00915,0.00229,3.64,0.0,9f23e7c683a0
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,7,2,3,4,0.7500,0.4286,0.5455,99915,1535,0.02510,0.00837,7.28,0.7,9f23e7c683a0
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,7,0,3,4,0.7500,0.4286,0.5455,66716,1081,0.01684,0.00561,4.65,0.0,9f23e7c683a0
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,raw,9,0,7,7,1.0000,0.7778,0.8750,32517,548,0.00824,0.00118,1.99,0.0,9f23e7c683a0
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first,8,0,6,7,0.8571,0.7500,0.8000,32601,838,0.00865,0.00144,3.18,0.0,9f23e7c683a0
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,reason-first-16k,9,0,7,7,1.0000,0.7778,0.8750,32599,1039,0.00893,0.00128,7.38,0.0,9f23e7c683a0
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,union-k3,13,0,7,7,1.0000,0.5385,0.7000,97551,1775,0.02489,0.00356,6.90,0.7,9f23e7c683a0
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,requery,9,2,7,7,1.0000,0.7778,0.8750,65132,723,0.01598,0.00228,3.95,0.0,9f23e7c683a0
3432d049,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,40,0,19,19,1.0000,0.4750,0.6441,99268,84,0.02295,0.00121,21.83,,9f23e7c683a0
bd86866b,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,3,0,2,2,1.0000,0.6667,0.8000,704,10,0.00018,0.00009,0.91,,9f23e7c683a0
bd9811a5,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,8,0,7,8,0.8750,0.8750,0.8750,2275,18,0.00055,0.00008,1.02,,9f23e7c683a0
c6319397,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,7,0,3,4,0.7500,0.4286,0.5455,1892,20,0.00046,0.00015,0.61,,9f23e7c683a0
c9a68107,docling,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,10,0,7,7,1.0000,0.7000,0.8235,3185,24,0.00077,0.00011,0.68,,9f23e7c683a0
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,20,0,19,19,1.0000,0.9500,0.9744,14242,44,0.00334,0.00018,0.87,,9f23e7c683a0
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,3,0,2,2,1.0000,0.6667,0.8000,884,10,0.00022,0.00011,0.64,,9f23e7c683a0
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,8,0,6,8,0.7500,0.7500,0.7500,3667,20,0.00087,0.00015,0.78,,9f23e7c683a0
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,7,0,3,4,0.7500,0.4286,0.5455,2012,18,0.00049,0.00016,0.74,,9f23e7c683a0
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,judge,13,0,7,7,1.0000,0.5385,0.7000,6479,30,0.00153,0.00022,0.86,,9f23e7c683a0
3432d049,union,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,parser-union,20,0,19,19,1.0000,0.9500,0.9744,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
bd86866b,union,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,parser-union,3,0,2,2,1.0000,0.6667,0.8000,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
bd9811a5,union,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,parser-union,6,0,6,8,0.7500,1.0000,0.8571,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
c6319397,union,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,parser-union,9,0,3,4,0.7500,0.3333,0.4615,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
c9a68107,union,gemini-lite,google/gemini-3.1-flash-lite,T74 multi-pass,parser-union,8,0,7,7,1.0000,0.8750,0.9333,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
3432d049,docling,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,20,0,19,19,1.0000,0.9500,0.9744,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
bd86866b,docling,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,4,0,2,2,1.0000,0.5000,0.6667,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
bd9811a5,docling,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,12,0,8,8,1.0000,0.6667,0.8000,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
c6319397,docling,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,10,0,4,4,1.0000,0.4000,0.5714,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
c9a68107,docling,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,10,0,7,7,1.0000,0.7000,0.8235,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
3432d049,paddle,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,20,0,19,19,1.0000,0.9500,0.9744,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
bd86866b,paddle,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,6,0,2,2,1.0000,0.3333,0.5000,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
bd9811a5,paddle,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,13,0,7,8,0.8750,0.5385,0.6667,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
c6319397,paddle,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,11,0,3,4,0.7500,0.2727,0.4000,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
c9a68107,paddle,model-union,deepseek-flash+gemini-lite,T74 multi-pass,model-union,8,0,7,7,1.0000,0.8750,0.9333,0,0,0.00000,0.00000,0.00,,9f23e7c683a0
