paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,15,0,14,19,0.7368,0.9333,0.8235,39264,1334,0.03261,0.00233,7.45,0.0,bd526972a038
3432d049,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,20,0,19,19,1.0000,0.9500,0.9744,40008,2819,0.03928,0.00207,16.65,0.0,bd526972a038
bd86866b,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,6,3,3,3,1.0000,0.5000,0.6667,42103,794,0.03234,0.01078,6.93,0.0,bd526972a038
bd86866b,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,6,1,3,3,1.0000,0.5000,0.6667,42847,1158,0.03436,0.01145,7.63,0.0,bd526972a038
bd9811a5,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,11,2,8,8,1.0000,0.7273,0.8421,33066,1122,0.02746,0.00343,6.00,0.0,bd526972a038
bd9811a5,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,8,1,7,8,0.8750,0.8750,0.8750,33810,1255,0.02852,0.00407,6.65,0.0,bd526972a038
c6319397,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,14,1,2,4,0.5000,0.1429,0.2222,38836,1050,0.03114,0.01557,5.96,0.0,bd526972a038
c6319397,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,9,0,3,4,0.7500,0.3333,0.4615,39580,1098,0.03186,0.01062,7.21,0.0,bd526972a038
c9a68107,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,7,1,4,7,0.5714,0.5714,0.5714,35867,480,0.02674,0.00668,8.85,0.0,bd526972a038
c9a68107,docling,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,10,0,4,7,0.5714,0.4000,0.4706,36611,1372,0.03094,0.00774,6.93,0.0,bd526972a038
3432d049,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,21,0,19,19,1.0000,0.9048,0.9500,43385,10885,0.02559,0.00135,199.34,0.0,bd526972a038
3432d049,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,20,0,19,19,1.0000,0.9500,0.9744,43387,7254,0.02132,0.00112,132.38,0.0,bd526972a038
bd86866b,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,2,0,2,3,0.6667,1.0000,0.8000,46832,3995,0.01849,0.00925,75.40,0.0,bd526972a038
bd86866b,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,3,0,3,3,1.0000,1.0000,1.0000,46834,3938,0.01843,0.00614,73.08,0.0,bd526972a038
bd9811a5,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,8,0,7,8,0.8750,0.8750,0.8750,37464,8138,0.02061,0.00294,149.55,0.0,bd526972a038
bd9811a5,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,10,0,8,8,1.0000,0.8000,0.8889,37466,8036,0.02049,0.00256,146.79,0.0,bd526972a038
c6319397,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,10,3,3,4,0.7500,0.3000,0.4286,43892,6622,0.02072,0.00691,122.39,0.0,bd526972a038
c6319397,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,6,3,4,4,1.0000,0.6667,0.8000,43894,8511,0.02294,0.00574,155.33,0.0,bd526972a038
c9a68107,docling,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,6,0,4,7,0.5714,0.6667,0.6154,40287,5833,0.01873,0.00468,63.58,0.0,bd526972a038
3432d049,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,20,0,19,19,1.0000,0.9500,0.9744,42844,1330,0.01169,0.00062,5.66,0.0,bd526972a038
3432d049,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,11,1,11,19,0.5789,1.0000,0.7333,44017,2317,0.01332,0.00121,16.84,0.0,bd526972a038
bd86866b,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,3,0,3,3,1.0000,1.0000,1.0000,45493,238,0.01079,0.00360,2.55,0.0,bd526972a038
bd86866b,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,3,0,3,3,1.0000,1.0000,1.0000,45495,459,0.01110,0.00370,2.25,0.0,bd526972a038
bd9811a5,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,6,2,6,8,0.7500,1.0000,0.8571,36916,594,0.00931,0.00155,5.19,0.0,bd526972a038
bd9811a5,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,1,6,8,0.7500,1.0000,0.8571,38089,1748,0.01117,0.00186,5.53,0.0,bd526972a038
c6319397,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,7,0,3,4,0.7500,0.4286,0.5455,42801,483,0.01051,0.00350,2.57,0.0,bd526972a038
c6319397,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,4,2,3,4,0.7500,0.7500,0.7500,42801,1410,0.01179,0.00393,4.99,0.0,bd526972a038
c9a68107,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,8,0,7,7,1.0000,0.8750,0.9333,39477,591,0.00990,0.00141,3.12,0.0,bd526972a038
c9a68107,docling,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,7,0,6,7,0.8571,0.8571,0.8571,39479,1273,0.01084,0.00181,3.94,0.0,bd526972a038
3432d049,docling,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,2,10,2,19,0.1053,1.0000,0.1905,45789,1240,0.04783,0.02391,7.35,,bd526972a038
bd86866b,docling,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,3,0,2,3,0.6667,0.6667,0.6667,47994,399,0.04599,0.02299,3.36,,bd526972a038
bd9811a5,docling,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,7,1,7,8,0.8750,1.0000,0.9333,38163,937,0.03942,0.00563,5.77,,bd526972a038
c6319397,docling,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,8,0,3,4,0.7500,0.3750,0.5000,45764,1093,0.04713,0.01571,6.86,,bd526972a038
c9a68107,docling,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,11,2,7,7,1.0000,0.6364,0.7778,42055,1499,0.04559,0.00651,8.39,,bd526972a038
3432d049,docling,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,19,0,19,19,1.0000,1.0000,1.0000,45790,2760,0.16447,0.00866,28.99,,bd526972a038
bd86866b,docling,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,2,0,2,3,0.6667,1.0000,0.8000,47995,319,0.13687,0.06843,6.30,,bd526972a038
bd9811a5,docling,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,12,1,8,8,1.0000,0.6667,0.8000,38164,1831,0.13060,0.01633,21.74,,bd526972a038
c6319397,docling,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,8,3,3,4,0.7500,0.3750,0.5000,45765,1821,0.15144,0.05048,20.37,,bd526972a038
c9a68107,docling,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,10,0,7,7,1.0000,0.7000,0.8235,42056,1391,0.13527,0.01932,18.17,,bd526972a038
3432d049,docling,deepseek-flash,deepseek-v4-flash,production default under test,raw,18,0,18,19,0.9474,1.0000,0.9730,38681,2648,0.00566,0.00031,18.19,0,bd526972a038
bd86866b,docling,deepseek-flash,deepseek-v4-flash,production default under test,raw,0,1,0,3,0.0000,0.0000,0.0000,41187,544,0.00545,,5.65,0,bd526972a038
bd9811a5,docling,deepseek-flash,deepseek-v4-flash,production default under test,raw,12,2,8,8,1.0000,0.6667,0.8000,32731,1619,0.00463,0.00058,11.67,0,bd526972a038
c6319397,docling,deepseek-flash,deepseek-v4-flash,production default under test,raw,9,0,4,4,1.0000,0.4444,0.6154,38179,1258,0.00524,0.00131,9.71,0,bd526972a038
c9a68107,docling,deepseek-flash,deepseek-v4-flash,production default under test,raw,9,0,6,7,0.8571,0.6667,0.7500,35370,1044,0.00482,0.00080,8.49,0,bd526972a038
3432d049,docling,deepseek-pro,deepseek-v4-pro,within-provider big,raw,16,4,15,19,0.7895,0.9375,0.8571,38681,2668,0.01762,0.00117,18.85,0,bd526972a038
bd86866b,docling,deepseek-pro,deepseek-v4-pro,within-provider big,raw,3,0,2,3,0.6667,0.6667,0.6667,41187,392,0.01680,0.00840,6.26,0,bd526972a038
bd9811a5,docling,deepseek-pro,deepseek-v4-pro,within-provider big,raw,12,1,8,8,1.0000,0.6667,0.8000,32731,1447,0.01426,0.00178,9.78,0,bd526972a038
c6319397,docling,deepseek-pro,deepseek-v4-pro,within-provider big,raw,12,0,4,4,1.0000,0.3333,0.5000,38179,1793,0.01671,0.00418,13.92,0,bd526972a038
c9a68107,docling,deepseek-pro,deepseek-v4-pro,within-provider big,raw,10,0,7,7,1.0000,0.7000,0.8235,35370,1188,0.01511,0.00216,10.53,0,bd526972a038
3432d049,docling,gemini-free,gemini-3.5-flash,google free tier,raw,20,0,19,19,1.0000,0.9500,0.9744,42846,1828,0.00000,0.00000,41.07,0.0,bd526972a038
bd86866b,docling,gemini-free,gemini-3.5-flash,google free tier,raw,2,0,2,3,0.6667,1.0000,0.8000,45495,318,0.00000,0.00000,18.91,0.0,bd526972a038
bd9811a5,docling,gemini-free,gemini-3.5-flash,google free tier,raw,9,0,4,8,0.5000,0.4444,0.4706,36918,1364,0.00000,0.00000,57.25,0.0,bd526972a038
c6319397,docling,gemini-free,gemini-3.5-flash,google free tier,raw,8,3,4,4,1.0000,0.5000,0.6667,42801,1915,0.00000,0.00000,51.91,0.0,bd526972a038
c9a68107,docling,gemini-free,gemini-3.5-flash,google free tier,raw,10,0,7,7,1.0000,0.7000,0.8235,39479,1281,0.00000,0.00000,21.88,0.0,bd526972a038
