paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
c6319397,dots,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,9,3,3,4,0.7500,0.3333,0.4615,31419,8393,0.01913,0.00638,154.00,0.0,bd526972a038
c9a68107,dots,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,8,0,6,7,0.8571,0.7500,0.8000,28619,5896,0.01537,0.00256,109.15,0.0,bd526972a038
c9a68107,dots,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,6,0,4,7,0.5714,0.6667,0.6154,28621,4204,0.01338,0.00334,77.50,0.0,bd526972a038
3432d049,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,20,0,19,19,1.0000,0.9500,0.9744,29771,1310,0.00866,0.00046,4.59,0.0,bd526972a038
3432d049,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,0,6,19,0.3158,1.0000,0.4800,29773,1473,0.00888,0.00148,4.32,0.0,bd526972a038
bd86866b,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,3,0,3,3,1.0000,1.0000,1.0000,30073,165,0.00714,0.00238,1.35,0.0,bd526972a038
bd86866b,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,2,0,2,3,0.6667,1.0000,0.8000,30073,452,0.00754,0.00377,2.38,0.0,bd526972a038
bd9811a5,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,3,1,3,8,0.3750,1.0000,0.5455,25979,261,0.00634,0.00211,1.97,0.0,bd526972a038
bd9811a5,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,2,1,2,8,0.2500,1.0000,0.4000,25979,712,0.00696,0.00348,2.81,0.0,bd526972a038
c6319397,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,9,0,3,4,0.7500,0.3333,0.4615,30166,618,0.00779,0.00260,2.24,0.0,bd526972a038
c6319397,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,0,3,4,0.7500,0.5000,0.6000,30166,1669,0.00924,0.00308,4.66,0.0,bd526972a038
c9a68107,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,8,0,7,7,1.0000,0.8750,0.9333,27635,632,0.00723,0.00103,2.28,0.0,bd526972a038
c9a68107,dots,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,0,6,7,0.8571,1.0000,0.9231,27635,1424,0.00832,0.00139,4.11,0.0,bd526972a038
3432d049,dots,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,16,4,14,19,0.7368,0.8750,0.8000,33598,2300,0.04149,0.00296,11.58,,bd526972a038
bd86866b,dots,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,3,2,2,3,0.6667,0.6667,0.6667,34241,603,0.03428,0.01714,4.81,,bd526972a038
bd9811a5,dots,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,8,1,4,8,0.5000,0.5000,0.5000,29502,957,0.03154,0.00789,5.67,,bd526972a038
c6319397,dots,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,7,0,3,4,0.7500,0.4286,0.5455,34264,876,0.03555,0.01185,5.63,,bd526972a038
c9a68107,dots,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,10,0,7,7,1.0000,0.7000,0.8235,31499,1191,0.03446,0.00492,7.05,,bd526972a038
3432d049,dots,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,19,0,19,19,1.0000,1.0000,1.0000,33599,3040,0.13469,0.00709,31.33,,bd526972a038
bd86866b,dots,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,0,1,0,3,0.0000,0.0000,0.0000,34242,660,0.10362,,12.68,,bd526972a038
bd9811a5,dots,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,8,1,4,8,0.5000,0.5000,0.5000,29503,1274,0.09901,0.02475,15.82,,bd526972a038
c6319397,dots,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,7,3,3,4,0.7500,0.4286,0.5455,34265,1638,0.11718,0.03906,18.86,,bd526972a038
c9a68107,dots,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,10,0,7,7,1.0000,0.7000,0.8235,31500,1487,0.10746,0.01535,16.45,,bd526972a038
3432d049,dots,deepseek-flash,deepseek-v4-flash,production default under test,raw,19,0,18,19,0.9474,0.9474,0.9474,27948,2826,0.00433,0.00024,15.98,0,bd526972a038
bd86866b,dots,deepseek-flash,deepseek-v4-flash,production default under test,raw,2,0,2,3,0.6667,1.0000,0.8000,28763,277,0.00378,0.00189,3.06,0,bd526972a038
bd9811a5,dots,deepseek-flash,deepseek-v4-flash,production default under test,raw,8,2,4,8,0.5000,0.5000,0.5000,24338,1057,0.00341,0.00085,6.56,0,bd526972a038
c6319397,dots,deepseek-flash,deepseek-v4-flash,production default under test,raw,11,3,3,4,0.7500,0.2727,0.4000,27880,1743,0.00404,0.00135,10.21,0,bd526972a038
c9a68107,dots,deepseek-flash,deepseek-v4-flash,production default under test,raw,10,0,6,7,0.8571,0.6000,0.7059,25572,1086,0.00357,0.00060,7.56,0,bd526972a038
3432d049,dots,deepseek-pro,deepseek-v4-pro,within-provider big,raw,16,4,15,19,0.7895,0.9375,0.8571,27948,2806,0.01343,0.00090,17.00,0,bd526972a038
bd86866b,dots,deepseek-pro,deepseek-v4-pro,within-provider big,raw,3,2,2,3,0.6667,0.6667,0.6667,28763,495,0.01191,0.00595,5.40,0,bd526972a038
bd9811a5,dots,deepseek-pro,deepseek-v4-pro,within-provider big,raw,7,1,4,8,0.5000,0.5714,0.5333,24338,874,0.01044,0.00261,6.95,0,bd526972a038
c6319397,dots,deepseek-pro,deepseek-v4-pro,within-provider big,raw,9,1,3,4,0.7500,0.3333,0.4615,27880,1398,0.01228,0.00409,9.61,0,bd526972a038
c9a68107,dots,deepseek-pro,deepseek-v4-pro,within-provider big,raw,11,0,7,7,1.0000,0.6364,0.7778,25572,1514,0.01145,0.00164,10.33,0,bd526972a038
3432d049,dots,gemini-free,gemini-3.5-flash,google free tier,raw,21,0,19,19,1.0000,0.9048,0.9500,29773,3077,0.00000,0.00000,51.58,0.0,bd526972a038
bd86866b,dots,gemini-free,gemini-3.5-flash,google free tier,raw,2,0,2,3,0.6667,1.0000,0.8000,30073,324,0.00000,0.00000,18.34,0.0,bd526972a038
bd9811a5,dots,gemini-free,gemini-3.5-flash,google free tier,raw,7,0,4,8,0.5000,0.5714,0.5333,25979,917,0.00000,0.00000,30.72,0.0,bd526972a038
c6319397,dots,gemini-free,gemini-3.5-flash,google free tier,raw,8,3,4,4,1.0000,0.5000,0.6667,30166,1874,0.00000,0.00000,44.74,0.0,bd526972a038
c9a68107,dots,gemini-free,gemini-3.5-flash,google free tier,raw,10,0,7,7,1.0000,0.7000,0.8235,27635,1433,0.00000,0.00000,36.63,0.0,bd526972a038
