paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,21,1,19,19,1.0000,0.9048,0.9500,32558,1656,0.02932,0.00154,9.31,0.0,9f23e7c683a0
3432d049,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,20,1,19,19,1.0000,0.9500,0.9744,33302,2927,0.03510,0.00185,11.51,0.0,9f23e7c683a0
bd86866b,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,3,0,2,2,1.0000,0.6667,0.8000,32778,242,0.02362,0.01181,2.49,0.0,9f23e7c683a0
bd86866b,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,3,3,2,2,1.0000,0.6667,0.8000,33522,812,0.02649,0.01325,3.86,0.0,9f23e7c683a0
bd9811a5,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,23,3,6,8,0.7500,0.2609,0.3871,26443,1728,0.02540,0.00423,8.28,0.0,9f23e7c683a0
bd9811a5,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,3,0,2,8,0.2500,0.6667,0.3636,27187,405,0.02044,0.01022,2.54,0.0,9f23e7c683a0
c6319397,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,9,0,2,4,0.5000,0.2222,0.3077,30993,758,0.02452,0.01226,4.60,0.0,9f23e7c683a0
c6319397,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,16,2,4,4,1.0000,0.2500,0.4000,31737,2122,0.03068,0.00767,4.53,0.0,9f23e7c683a0
c9a68107,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,13,1,6,7,0.8571,0.4615,0.6000,30472,865,0.02461,0.00410,4.40,0.0,9f23e7c683a0
c9a68107,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,9,0,4,7,0.5714,0.4444,0.5000,31216,1173,0.02640,0.00660,5.21,0.0,9f23e7c683a0
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,20,0,19,19,1.0000,0.9500,0.9744,34665,1311,0.00978,0.00051,3.54,0.0,9f23e7c683a0
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,16,0,15,19,0.7895,0.9375,0.8571,34665,2925,0.01201,0.00080,6.83,0.0,9f23e7c683a0
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,3,0,2,2,1.0000,0.6667,0.8000,34327,187,0.00815,0.00408,1.48,0.0,9f23e7c683a0
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,2,0,2,2,1.0000,1.0000,1.0000,34327,311,0.00832,0.00416,2.40,0.0,9f23e7c683a0
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,6,2,6,8,0.7500,1.0000,0.8571,28681,551,0.00736,0.00123,1.95,0.0,9f23e7c683a0
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,0,6,8,0.7500,1.0000,0.8571,28681,1410,0.00854,0.00142,3.53,0.0,9f23e7c683a0
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,6,0,3,4,0.7500,0.5000,0.6000,33303,525,0.00838,0.00279,2.41,0.0,9f23e7c683a0
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,3,2,3,4,0.7500,1.0000,0.8571,33305,846,0.00883,0.00294,2.58,0.0,9f23e7c683a0
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,9,0,7,7,1.0000,0.7778,0.8750,32517,548,0.00824,0.00118,1.99,0.0,9f23e7c683a0
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,0,6,7,0.8571,1.0000,0.9231,32517,1432,0.00946,0.00158,3.76,0.0,9f23e7c683a0
3432d049,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,19,0,18,19,0.9474,0.9474,0.9474,39903,2091,0.04633,0.00257,6.75,,9f23e7c683a0
bd86866b,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,5,0,2,2,1.0000,0.4000,0.5714,39403,669,0.03933,0.01966,4.95,,9f23e7c683a0
bd9811a5,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,7,2,6,8,0.7500,0.8571,0.8000,31983,1043,0.03422,0.00570,6.12,,9f23e7c683a0
c6319397,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,6,0,3,4,0.7500,0.5000,0.6000,37957,821,0.03870,0.01290,7.15,,9f23e7c683a0
c9a68107,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,13,1,7,7,1.0000,0.5385,0.7000,37443,1600,0.04181,0.00597,8.90,,9f23e7c683a0
3432d049,paddle,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,20,0,19,19,1.0000,0.9500,0.9744,39904,3164,0.15380,0.00809,26.90,,9f23e7c683a0
bd86866b,paddle,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,2,0,2,2,1.0000,1.0000,1.0000,39404,607,0.11713,0.05857,12.14,,9f23e7c683a0
bd9811a5,paddle,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,9,2,6,8,0.7500,0.6667,0.7059,31984,1469,0.10855,0.01809,17.70,,9f23e7c683a0
c6319397,paddle,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,8,3,4,4,1.0000,0.5000,0.6667,37958,1694,0.12814,0.03204,12.28,,9f23e7c683a0
c9a68107,paddle,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,10,0,7,7,1.0000,0.7000,0.8235,37444,1507,0.12414,0.01773,18.76,,9f23e7c683a0
3432d049,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,19,0,18,19,0.9474,0.9474,0.9474,31010,2347,0.00460,0.00026,12.95,0,9f23e7c683a0
bd86866b,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,6,2,2,2,1.0000,0.3333,0.5000,31279,978,0.00428,0.00214,6.33,0,9f23e7c683a0
bd9811a5,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,12,2,6,8,0.7500,0.5000,0.6000,25760,1309,0.00366,0.00061,8.05,0,9f23e7c683a0
c6319397,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,9,3,3,4,0.7500,0.3333,0.4615,29879,1645,0.00427,0.00142,9.43,0,9f23e7c683a0
c9a68107,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,0,1,0,7,0.0000,0.0000,0.0000,29384,1085,0.00406,,6.71,0,9f23e7c683a0
3432d049,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,17,1,16,19,0.8421,0.9412,0.8889,31010,2283,0.01424,0.00089,14.74,0,9f23e7c683a0
bd86866b,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,5,2,2,2,1.0000,0.4000,0.5714,31279,674,0.01306,0.00653,7.46,0,9f23e7c683a0
bd9811a5,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,11,5,6,8,0.7500,0.5455,0.6316,25760,2153,0.01203,0.00201,8.77,0,9f23e7c683a0
c6319397,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,7,3,4,4,1.0000,0.5714,0.7273,29879,1438,0.01311,0.00328,10.50,0,9f23e7c683a0
c9a68107,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,10,0,7,7,1.0000,0.7000,0.8235,29384,1180,0.01270,0.00181,8.46,0,9f23e7c683a0
