paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
c9a68107,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,10,0,5,7,0.7143,0.5000,0.5882,31216,1352,0.02714,0.00543,7.22,0.0,bd526972a038
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,16,0,16,19,0.8421,1.0000,0.9143,34663,1022,0.00938,0.00059,3.33,0.0,bd526972a038
3432d049,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,12,0,12,19,0.6316,1.0000,0.7742,35836,2309,0.01143,0.00095,6.51,0.0,bd526972a038
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,3,0,3,3,1.0000,1.0000,1.0000,34327,187,0.00815,0.00272,1.62,0.0,bd526972a038
bd86866b,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,2,0,2,3,0.6667,1.0000,0.8000,35498,346,0.00864,0.00432,2.24,0.0,bd526972a038
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,6,2,6,8,0.7500,1.0000,0.8571,28681,551,0.00736,0.00123,2.34,0.0,bd526972a038
bd9811a5,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,1,6,8,0.7500,1.0000,0.8571,28681,1650,0.00887,0.00148,4.69,0.0,bd526972a038
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,7,0,3,4,0.7500,0.4286,0.5455,33305,550,0.00842,0.00281,2.24,0.0,bd526972a038
c6319397,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,3,2,3,4,0.7500,1.0000,0.8571,33305,1179,0.00929,0.00310,3.78,0.0,bd526972a038
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,9,0,6,7,0.8571,0.6667,0.7500,32515,620,0.00833,0.00139,2.56,0.0,bd526972a038
c9a68107,paddle,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,0,6,7,0.8571,1.0000,0.9231,32517,1432,0.00946,0.00158,4.79,0.0,bd526972a038
3432d049,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,19,0,18,19,0.9474,0.9474,0.9474,39903,2131,0.04651,0.00258,10.69,,bd526972a038
bd86866b,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,3,0,2,3,0.6667,0.6667,0.6667,39403,425,0.03821,0.01910,4.74,,bd526972a038
bd9811a5,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,7,2,6,8,0.7500,0.8571,0.8000,31983,1026,0.03414,0.00569,6.09,,bd526972a038
c6319397,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,8,0,4,4,1.0000,0.5000,0.6667,37957,1196,0.04042,0.01011,7.53,,bd526972a038
c9a68107,paddle,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,13,0,7,7,1.0000,0.5385,0.7000,37443,1614,0.04187,0.00598,8.70,,bd526972a038
3432d049,paddle,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,21,0,19,19,1.0000,0.9048,0.9500,39904,3251,0.15500,0.00816,33.63,,bd526972a038
bd86866b,paddle,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,2,0,2,3,0.6667,1.0000,0.8000,39404,690,0.11828,0.05914,15.07,,bd526972a038
3432d049,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,18,0,18,19,0.9474,1.0000,0.9730,31010,2722,0.00470,0.00026,15.22,0,bd526972a038
bd86866b,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,0,1,0,3,0.0000,0.0000,0.0000,31279,797,0.00423,,5.76,0,bd526972a038
bd9811a5,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,12,2,6,8,0.7500,0.5000,0.6000,25760,1309,0.00366,0.00061,8.19,0,bd526972a038
c6319397,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,0,1,0,4,0.0000,0.0000,0.0000,29879,1648,0.00427,,9.74,0,bd526972a038
c9a68107,paddle,deepseek-flash,deepseek-v4-flash,production default under test,raw,0,1,0,7,0.0000,0.0000,0.0000,29384,1113,0.00407,,7.28,0,bd526972a038
3432d049,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,20,0,19,19,1.0000,0.9500,0.9744,31010,2730,0.01460,0.00077,16.94,0,bd526972a038
bd86866b,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,5,2,2,3,0.6667,0.4000,0.5000,31279,668,0.01305,0.00653,7.36,0,bd526972a038
bd9811a5,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,11,5,6,8,0.7500,0.5455,0.6316,25760,2153,0.01203,0.00201,13.20,0,bd526972a038
c6319397,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,7,3,4,4,1.0000,0.5714,0.7273,29879,1382,0.01306,0.00327,10.22,0,bd526972a038
c9a68107,paddle,deepseek-pro,deepseek-v4-pro,within-provider big,raw,10,0,7,7,1.0000,0.7000,0.8235,29384,1202,0.01272,0.00182,7.50,0,bd526972a038
3432d049,paddle,gemini-free,gemini-3.5-flash,google free tier,raw,20,0,19,19,1.0000,0.9500,0.9744,34665,1976,0.00000,0.00000,32.83,0.0,bd526972a038
bd86866b,paddle,gemini-free,gemini-3.5-flash,google free tier,raw,2,0,2,3,0.6667,1.0000,0.8000,34327,298,0.00000,0.00000,14.92,0.0,bd526972a038
bd9811a5,paddle,gemini-free,gemini-3.5-flash,google free tier,raw,8,2,6,8,0.7500,0.7500,0.7500,28681,1294,0.00000,0.00000,22.82,0.0,bd526972a038
c9a68107,paddle,gemini-free,gemini-3.5-flash,google free tier,raw,10,0,7,7,1.0000,0.7000,0.8235,32517,1444,0.00000,0.00000,30.72,0.0,bd526972a038
