paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
bd86866b,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,7,0,3,3,1.0000,0.4286,0.6000,32099,511,0.02426,0.00809,3.03,0.0,bd526972a038
bd86866b,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,3,1,3,3,1.0000,1.0000,1.0000,32843,501,0.02474,0.00825,3.78,0.0,bd526972a038
bd9811a5,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,8,1,3,8,0.3750,0.3750,0.3750,25662,591,0.02015,0.00672,4.91,0.0,bd526972a038
bd9811a5,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,4,2,2,8,0.2500,0.5000,0.3333,26406,740,0.02128,0.01064,4.70,0.0,bd526972a038
c6319397,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,3,0,2,4,0.5000,0.6667,0.5714,29980,172,0.02140,0.01070,1.99,0.0,bd526972a038
c6319397,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,15,1,4,4,1.0000,0.2667,0.4211,30724,2071,0.02977,0.00744,9.67,0.0,bd526972a038
c9a68107,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,10,0,4,7,0.5714,0.4000,0.4706,28854,725,0.02291,0.00573,4.37,0.0,bd526972a038
c9a68107,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,12,0,4,7,0.5714,0.3333,0.4211,29598,1540,0.02680,0.00670,8.80,0.0,bd526972a038
3432d049,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,19,0,17,19,0.8947,0.8947,0.8947,32863,9602,0.02098,0.00123,175.59,0.0,bd526972a038
3432d049,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,8,0,7,19,0.3684,0.8750,0.5185,32865,5969,0.01670,0.00239,110.88,0.0,bd526972a038
bd86866b,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,2,0,2,3,0.6667,1.0000,0.8000,34591,3447,0.01424,0.00712,64.94,0.0,bd526972a038
bd86866b,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,2,0,2,3,0.6667,1.0000,0.8000,34593,2754,0.01343,0.00671,52.64,0.0,bd526972a038
bd9811a5,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,7,0,4,8,0.5000,0.5714,0.5333,28049,6156,0.01551,0.00388,68.93,0.0,bd526972a038
c6319397,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,7,2,3,4,0.7500,0.4286,0.5455,32947,6721,0.01761,0.00587,124.01,0.0,bd526972a038
c6319397,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,7,3,3,4,0.7500,0.4286,0.5455,32949,5886,0.01663,0.00554,108.41,0.0,bd526972a038
c9a68107,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,8,0,6,7,0.8571,0.7500,0.8000,31606,4675,0.01481,0.00247,86.88,0.0,bd526972a038
c9a68107,mineru,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,7,0,4,7,0.5714,0.5714,0.5714,31608,5772,0.01610,0.00403,106.48,0.0,bd526972a038
3432d049,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,20,0,19,19,1.0000,0.9500,0.9744,32244,1482,0.00946,0.00050,4.86,0.0,bd526972a038
3432d049,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,7,0,7,19,0.3684,1.0000,0.5385,33415,1346,0.00954,0.00136,5.41,0.0,bd526972a038
bd86866b,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,3,0,3,3,1.0000,1.0000,1.0000,33215,187,0.00790,0.00263,1.45,0.0,bd526972a038
bd86866b,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,0,3,0,3,0.0000,0.0000,0.0000,33215,474,0.00829,,2.96,0.0,bd526972a038
bd9811a5,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,6,0,3,8,0.3750,0.5000,0.4286,27404,391,0.00684,0.00228,1.79,0.0,bd526972a038
bd9811a5,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,2,1,2,8,0.2500,1.0000,0.4000,27404,709,0.00728,0.00364,2.82,0.0,bd526972a038
c6319397,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,6,0,3,4,0.7500,0.5000,0.6000,31939,456,0.00798,0.00266,2.31,0.0,bd526972a038
c6319397,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,4,2,3,4,0.7500,0.7500,0.7500,31941,995,0.00872,0.00291,3.47,0.0,bd526972a038
c9a68107,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),raw,8,0,6,7,0.8571,0.7500,0.8000,30848,520,0.00781,0.00130,2.52,0.0,bd526972a038
c9a68107,mineru,gemini-lite,google/gemini-3.1-flash-lite,Gemini Flash-Lite (cheap),strict,6,0,6,7,0.8571,1.0000,0.9231,30848,1430,0.00907,0.00151,4.73,0.0,bd526972a038
3432d049,mineru,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,16,0,15,19,0.7895,0.9375,0.8571,34991,1806,0.04050,0.00270,9.96,,bd526972a038
bd86866b,mineru,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,3,0,2,3,0.6667,0.6667,0.6667,36936,443,0.03602,0.01801,3.74,,bd526972a038
bd9811a5,mineru,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,10,0,3,8,0.3750,0.3000,0.3333,30118,1101,0.03277,0.01092,6.43,,bd526972a038
c6319397,mineru,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,8,0,3,4,0.7500,0.3750,0.5000,35287,1067,0.03737,0.01246,6.64,,bd526972a038
c9a68107,mineru,haiku-4.5,claude-haiku-4-5,frontier-small probe,raw,12,0,7,7,1.0000,0.5833,0.7368,33677,1505,0.03791,0.00542,8.70,,bd526972a038
3432d049,mineru,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,20,0,19,19,1.0000,0.9500,0.9744,34992,2916,0.13682,0.00720,30.51,,bd526972a038
bd86866b,mineru,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,2,0,2,3,0.6667,1.0000,0.8000,36937,689,0.11145,0.05573,13.97,,bd526972a038
bd9811a5,mineru,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,8,1,4,8,0.5000,0.5000,0.5000,30119,1292,0.10096,0.02524,16.09,,bd526972a038
c6319397,mineru,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,6,3,4,4,1.0000,0.6667,0.8000,35288,1548,0.11876,0.02969,18.22,,bd526972a038
c9a68107,mineru,sonnet-4.6,claude-sonnet-4-6,mid frontier,raw,9,0,6,7,0.8571,0.6667,0.7500,33678,1357,0.11168,0.01861,16.98,,bd526972a038
3432d049,mineru,opus-4.8,claude-opus-4-8,"frontier ceiling (one-time, pruned)",raw,21,0,19,19,1.0000,0.9048,0.9500,45695,2808,0.27478,0.01446,23.28,,bd526972a038
bd86866b,mineru,opus-4.8,claude-opus-4-8,"frontier ceiling (one-time, pruned)",raw,2,0,2,3,0.6667,1.0000,0.8000,47602,334,0.22665,0.11333,4.39,,bd526972a038
bd9811a5,mineru,opus-4.8,claude-opus-4-8,"frontier ceiling (one-time, pruned)",raw,10,0,4,8,0.5000,0.4000,0.4444,39357,1151,0.20752,0.05188,10.81,,bd526972a038
c6319397,mineru,opus-4.8,claude-opus-4-8,"frontier ceiling (one-time, pruned)",raw,8,0,3,4,0.7500,0.3750,0.5000,46349,1263,0.24225,0.08075,15.33,,bd526972a038
c9a68107,mineru,opus-4.8,claude-opus-4-8,"frontier ceiling (one-time, pruned)",raw,11,0,7,7,1.0000,0.6364,0.7778,43154,1396,0.23062,0.03295,13.20,,bd526972a038
3432d049,mineru,deepseek-flash,deepseek-v4-flash,production default under test,raw,19,0,18,19,0.9474,0.9474,0.9474,29724,2566,0.00449,0.00025,14.02,0,bd526972a038
bd86866b,mineru,deepseek-flash,deepseek-v4-flash,production default under test,raw,0,1,0,3,0.0000,0.0000,0.0000,30951,672,0.00416,,6.22,0,bd526972a038
bd9811a5,mineru,deepseek-flash,deepseek-v4-flash,production default under test,raw,0,1,0,8,0.0000,0.0000,0.0000,25160,829,0.00345,,6.12,0,bd526972a038
c6319397,mineru,deepseek-flash,deepseek-v4-flash,production default under test,raw,11,3,3,4,0.7500,0.2727,0.4000,29175,1835,0.00423,0.00141,11.57,0,bd526972a038
c9a68107,mineru,deepseek-flash,deepseek-v4-flash,production default under test,raw,0,1,0,7,0.0000,0.0000,0.0000,28369,1024,0.00392,,7.24,0,bd526972a038
3432d049,mineru,deepseek-pro,deepseek-v4-pro,within-provider big,raw,20,0,19,19,1.0000,0.9500,0.9744,29724,2690,0.01405,0.00074,17.72,0,bd526972a038
bd86866b,mineru,deepseek-pro,deepseek-v4-pro,within-provider big,raw,3,1,2,3,0.6667,0.6667,0.6667,30951,466,0.01276,0.00638,7.96,0,bd526972a038
bd9811a5,mineru,deepseek-pro,deepseek-v4-pro,within-provider big,raw,6,1,4,8,0.5000,0.6667,0.5714,25160,792,0.01070,0.00268,8.49,0,bd526972a038
c6319397,mineru,deepseek-pro,deepseek-v4-pro,within-provider big,raw,8,3,4,4,1.0000,0.5000,0.6667,29175,1293,0.01271,0.00318,10.85,0,bd526972a038
c9a68107,mineru,deepseek-pro,deepseek-v4-pro,within-provider big,raw,11,0,7,7,1.0000,0.6364,0.7778,28369,1518,0.01257,0.00180,12.48,0,bd526972a038
3432d049,mineru,gemini-free,gemini-3.5-flash,google free tier,raw,20,0,19,19,1.0000,0.9500,0.9744,32244,3280,0.00000,0.00000,56.93,0.0,bd526972a038
bd86866b,mineru,gemini-free,gemini-3.5-flash,google free tier,raw,2,0,2,3,0.6667,1.0000,0.8000,33215,340,0.00000,0.00000,25.97,0.0,bd526972a038
bd9811a5,mineru,gemini-free,gemini-3.5-flash,google free tier,raw,0,7,0,8,0.0000,0.0000,0.0000,27404,1004,0.00000,,63.79,0.0,bd526972a038
c6319397,mineru,gemini-free,gemini-3.5-flash,google free tier,raw,8,3,4,4,1.0000,0.5000,0.6667,31941,1597,0.00000,0.00000,58.46,0.0,bd526972a038
c9a68107,mineru,gemini-free,gemini-3.5-flash,google free tier,raw,10,0,7,7,1.0000,0.7000,0.8235,30848,1397,0.00000,0.00000,71.12,0.0,bd526972a038
